,location,total_sqft,bath,bhk,price
0,Electronic City Phase II,1056.0,2,2,39.07
2,Uttarahalli,1440.0,2,3,62.0
3,Lingadheeranahalli,1521.0,3,3,95.0
4,Kothanur,1200.0,2,2,51.0
5,Whitefield,1170.0,2,2,38.0
8,Marathahalli,1310.0,3,3,63.25
10,Whitefield,1800.0,2,3,70.0
12,7th Phase JP Nagar,1000.0,2,2,38.0
13,Gottigere,1100.0,2,2,40.0
14,Sarjapur,2250.0,3,3,148.0
15,Mysore Road,1175.0,2,2,73.5
16,Bisuvanahalli,1180.0,3,3,48.0
17,Raja Rajeshwari Nagar,1540.0,3,3,60.0
19,other,1100.0,2,2,48.0
20,Kengeri,600.0,1,1,15.0
21,Binny Pete,1755.0,3,3,122.0
23,Bellandur,1767.0,3,3,103.0
24,Thanisandra,510.0,1,1,25.25
25,other,1250.0,3,3,56.0
26,Electronic City,660.0,1,2,23.1
27,Whitefield,1610.0,3,3,81.0
28,Ramagondanahalli,1151.0,2,2,48.77
29,Electronic City,1025.0,2,3,47.0
31,Bisuvanahalli,1075.0,2,3,35.0
32,Hebbal,1760.0,2,3,123.0
33,Raja Rajeshwari Nagar,1693.0,3,3,57.39
34,Kasturi Nagar,1925.0,3,3,125.0
35,Kanakpura Road,700.0,2,2,36.0
36,Electronics City Phase 1,1070.0,2,2,45.5
37,Kundalahalli,1724.0,3,3,125.0
38,Chikkalasandra,1290.0,2,3,56.12
39,Uttarahalli,1143.0,2,2,45.0
40,Murugeshpalya,1296.0,2,2,81.0
41,Sarjapur  Road,1254.0,3,3,38.0
42,Ganga Nagar,600.0,1,1,38.0
43,Yelahanka,660.0,1,1,48.0
44,Kanakpura Road,1330.74,2,2,91.79
46,Doddathoguru,970.0,2,2,33.0
47,Whitefield,1459.0,2,2,94.82
49,other,869.0,2,2,36.0
50,other,1270.0,2,2,50.0
51,Bhoganhalli,1670.0,3,3,99.0
52,Whitefield,2010.0,3,3,91.0
53,Lakshminarayana Pura,1185.0,2,2,75.0
54,Yelahanka,1600.0,2,3,75.0
55,Begur Road,1200.0,2,2,44.0
59,other,840.0,2,2,45.0
61,Ganga Nagar,845.0,2,2,55.0
63,Varthur,1160.0,2,2,44.0
65,Doddathoguru,1100.0,2,2,62.0
66,Gunjur,1140.0,2,2,43.0
67,Marathahalli,1220.0,2,2,57.0
69,Kanakpura Road,1005.0,2,2,36.68
71,Begur Road,1358.0,2,2,80.58
72,Hegde Nagar,1569.0,3,3,101.0
73,Haralur Road,1240.0,2,2,70.0
74,Hennur Road,2089.0,3,3,140.0
75,Kothannur,1206.0,2,2,48.23
76,Kalena Agrahara,1150.0,2,2,40.0
78,Kaval Byrasandra,460.0,1,2,22.0
80,other,1660.0,2,3,105.0
82,Yelahanka,1326.0,2,2,78.0
83,Garudachar Palya,1325.0,2,3,60.8
86,Kanakpura Road,1665.0,3,3,88.0
87,Dasanapura,708.0,2,2,37.0
88,Kasavanhalli,1060.0,2,2,58.06
90,Sanjay nagar,1000.0,2,2,70.0
91,Electronic City,1000.0,2,2,28.88
92,other,1450.0,2,3,70.0
94,Thanisandra,1296.0,2,2,80.0
95,Domlur,1540.0,3,3,90.0
97,Sarjapura - Attibele Road,1330.0,2,3,48.0
98,other,1200.0,2,2,65.0
99,other,1200.0,3,3,90.0
101,Chandapura,650.0,1,2,17.0
103,other,1007.0,2,2,43.0
104,other,1200.0,2,2,50.0
105,other,966.0,2,2,49.9
106,Nagarbhavi,1630.0,2,3,98.0
108,other,782.0,2,2,55.68
109,Devanahalli,1260.0,2,2,66.78
110,other,1800.0,3,3,120.0
111,other,1413.0,2,3,75.0
112,Whitefield,1116.0,2,2,51.91
113,Electronic City,1530.0,2,3,45.9
116,Kengeri,1540.0,2,3,64.0
117,Thanisandra,1436.0,3,3,74.75
118,Malleshwaram,1100.0,2,2,75.0
120,Thanisandra,1427.0,3,3,120.0
121,Akshaya Nagar,2061.0,3,3,200.0
124,Devanahalli,1282.0,2,3,68.52
125,Kadugodi,1050.0,2,2,34.0
126,LB Shastri Nagar,1600.0,3,3,65.0
127,other,945.0,2,2,54.0
128,Hormavu,1500.0,2,2,78.0
130,other,1870.0,3,3,110.0
131,Sarjapur,1600.0,3,3,75.0
132,Electronic City,880.0,1,2,16.5
134,Kudlu Gate,1535.0,3,3,83.0
135,Kanakpura Road,950.0,2,2,57.0
136,Devanahalli,1360.0,2,2,65.0
137,8th Phase JP Nagar,1073.5,2,2,54.005
138,Bommasandra Industrial Area,1280.0,3,3,50.4
139,other,1260.0,2,3,85.05
142,Kasavanhalli,1563.05,3,3,105.0
143,ISRO Layout,1000.0,2,2,60.0
144,Anandapura,1167.0,2,2,43.76
146,Kothanur,1828.0,3,3,110.0
147,Kengeri Satellite Town,890.0,2,2,35.0
148,other,1612.0,3,3,46.74
150,Mysore Road,1710.0,4,3,91.31
151,Kannamangala,957.0,2,2,58.0
152,Devarachikkanahalli,1250.0,2,3,44.0
154,Hulimavu,1125.0,2,2,50.0
155,Electronic City Phase II,1020.0,2,2,30.6
156,Kalena Agrahara,1200.0,2,2,50.0
157,Thanisandra,1735.0,3,3,135.0
158,Thanisandra,2050.0,3,3,145.0
160,other,1350.0,2,3,48.0
161,Hosa Road,1063.0,2,2,32.0
162,other,1904.0,3,3,150.0
164,other,2000.0,3,3,175.0
165,Sarjapur,1242.5,2,2,43.49
166,other,1425.0,2,3,75.0
167,Electronic City,1500.0,2,3,64.5
168,Electronic City,1060.0,2,2,60.0
169,other,1470.0,2,3,70.0
171,Attibele,450.0,1,1,11.0
172,Electronic City,1152.0,2,2,64.5
173,Electronic City,1350.0,2,3,56.0
174,CV Raman Nagar,1550.0,3,3,65.0
175,other,1500.0,3,3,100.0
177,Nagavara,400.0,1,1,14.0
178,Malleshwaram,705.0,1,1,67.0
179,Electronic City,770.0,1,2,36.0
180,Hulimavu,1242.0,2,2,51.0
181,Hebbal Kempapura,1700.0,3,3,155.0
182,Thanisandra,2144.0,3,3,145.0
183,Vijayanagar,1704.0,3,3,110.0
184,Electronic City,1070.0,2,2,52.0
186,other,1340.0,2,2,55.7
187,Electronic City,1025.0,2,2,46.0
188,KR Puram,1277.5,2,2,56.8
189,Marathahalli,1200.0,2,2,52.0
190,Kanakpura Road,2250.0,4,4,110.0
191,Pattandur Agrahara,1550.0,2,3,80.0
194,Marathahalli,1200.0,2,2,60.0
195,Yelahanka,1327.0,2,2,98.0
196,Kothanur,1186.0,2,2,58.0
197,other,1783.0,3,3,115.0
198,HSR Layout,1400.0,3,3,56.0
199,Nagasandra,980.0,2,2,48.0
200,EPIP Zone,1285.0,2,2,82.0
201,other,912.0,2,3,70.0
202,Whitefield,1225.0,2,2,47.6
203,Whitefield,1075.0,2,2,53.0
204,Kadugodi,1260.0,2,3,54.0
205,Yelahanka,1282.0,2,3,48.7
206,Kogilu,1909.0,3,3,88.0
207,Panathur,1359.0,2,2,87.0
208,other,1207.0,2,2,43.5
211,Kammasandra,1595.0,3,3,65.0
212,other,1798.0,3,3,89.0
213,Electronics City Phase 1,1475.0,3,3,78.29
214,other,1580.0,3,3,100.0
215,Dasarahalli,1295.0,2,2,65.0
217,Electronic City,589.0,1,1,27.0
218,other,1415.0,3,3,78.0
219,Sarjapur  Road,1787.0,3,3,98.29
220,Sarjapur  Road,1787.0,3,3,125.0
221,Koramangala,1475.0,2,3,90.0
222,other,2000.0,4,4,75.5
223,Sarjapur  Road,984.0,2,2,44.28
224,Devanahalli,1630.0,2,3,74.82
226,7th Phase JP Nagar,1080.0,2,2,72.0
227,other,1500.0,2,2,115.0
228,Hebbal,1900.0,3,3,119.0
229,Dommasandra,805.0,2,2,22.14
230,Budigere,1153.0,2,2,56.4
231,other,1148.0,2,2,60.0
232,other,1110.0,2,2,55.0
233,Electronic City,1100.0,2,2,42.0
234,Kalyan nagar,1290.0,2,2,110.0
235,other,1500.0,2,3,65.0
236,other,1080.0,2,2,39.0
237,Vijayanagar,1933.0,3,3,129.0
239,other,1060.0,2,2,60.0
240,Chandapura,645.0,1,1,16.45
242,Chandapura,645.0,1,1,16.45
243,other,1644.0,3,3,84.0
244,other,1285.0,2,2,72.5
245,Electronic City,1200.0,3,3,90.0
246,Electronic City,910.0,2,2,40.0
247,Kothanur,1577.0,3,3,70.0
250,Chandapura,800.0,1,2,20.0
251,other,1060.0,2,2,55.0
252,7th Phase JP Nagar,1270.0,2,2,93.0
253,other,900.0,2,2,22.5
254,other,1280.0,2,2,69.0
255,Horamavu Agara,1200.0,2,4,95.0
256,Sarjapur  Road,1025.0,2,2,36.0
257,Electronic City,1108.0,2,2,63.0
261,Vijayanagar,1500.0,3,3,75.5
262,Raja Rajeshwari Nagar,1295.0,2,2,43.9
263,Budigere,1162.0,2,2,59.9
264,Sarjapur  Road,1035.0,2,2,49.2
265,Attibele,1600.0,4,4,52.8
266,other,1464.0,3,3,46.0
267,Hennur Road,1866.0,2,3,61.58
268,other,700.0,1,2,26.0
269,Kalena Agrahara,1804.0,3,3,120.0
270,Sarjapur,913.0,2,2,32.0
271,Talaghattapura,1868.0,3,3,131.0
272,Kengeri Satellite Town,883.0,2,2,45.0
274,Kogilu,1664.0,2,3,73.95
275,Hegde Nagar,2026.0,3,3,132.0
276,Balagere,1210.0,2,2,80.9
278,Kadugodi,1762.0,3,3,91.45
279,Jigani,1252.0,3,3,55.0
280,Gollarapalya Hosahalli,861.0,2,2,34.5
281,7th Phase JP Nagar,1420.0,2,3,100.0
283,Electronics City Phase 1,1490.0,3,3,78.8
284,Bisuvanahalli,1075.0,2,3,46.0
285,Old Madras Road,1425.0,2,3,94.0
286,Kalena Agrahara,1200.0,2,2,40.0
287,Kaggadasapura,1280.0,2,3,56.0
288,other,1084.0,2,2,50.0
289,Chandapura,1015.0,2,2,25.88
290,Kanakpura Road,1017.0,2,2,51.25
291,Haralur Road,1027.0,2,2,44.0
292,Electronic City Phase II,1069.0,2,2,45.0
293,Hebbal,1349.0,2,2,98.2
294,9th Phase JP Nagar,1005.0,2,2,50.0
295,Jakkur,1417.0,2,2,75.0
296,TC Palaya,1475.0,3,3,98.0
297,other,950.0,2,2,47.0
298,other,2000.0,4,4,120.0
300,Sarjapur  Road,1863.0,3,4,104.0
301,Singasandra,1010.0,2,2,29.5
302,Kalena Agrahara,1425.0,2,3,70.0
303,Vijayanagar,1450.0,3,3,100.0
304,Kothanur,1847.0,3,3,105.0
305,AECS Layout,1100.0,2,2,45.0
306,Kanakpura Road,525.0,1,1,26.0
307,Mallasandra,1665.0,3,3,95.0
308,Begur,1664.0,4,4,65.0
309,JP Nagar,1850.0,3,3,150.0
310,Panathur,1438.0,2,2,100.0
311,other,1560.0,3,3,115.0
312,Yelahanka,1350.0,2,2,55.55
313,Kanakpura Road,1550.0,3,3,67.0
314,Malleshpalya,1140.0,2,2,46.5
316,other,850.0,2,2,27.0
317,Whitefield,1280.0,2,2,75.0
318,Munnekollal,1170.0,2,2,52.0
319,other,1113.0,2,2,51.0
320,Hennur Road,1385.0,2,2,83.09
321,Electronic City,1128.0,2,2,65.0
326,Haralur Road,1464.0,3,3,56.0
327,other,1200.0,2,2,55.0
328,Kaval Byrasandra,1200.0,2,2,52.0
329,Kaggalipura,1150.0,2,3,55.0
330,other,1645.0,3,3,95.0
331,Sarjapur  Road,1000.0,2,2,67.0
333,6th Phase JP Nagar,1192.0,2,2,74.0
334,Ulsoor,2135.0,3,3,215.0
335,Whitefield,1173.0,2,2,58.0
336,Uttarahalli,1020.0,2,2,45.0
338,Somasundara Palya,1600.0,3,3,64.0
339,other,1200.0,2,2,79.0
340,other,1230.0,2,2,48.0
341,Devarachikkanahalli,1250.0,2,2,40.0
342,Kalena Agrahara,1325.0,2,2,76.0
343,7th Phase JP Nagar,1850.0,3,3,150.0
344,Kanakpura Road,525.0,2,1,21.53
345,Basaveshwara Nagar,1200.0,2,2,65.0
347,Bommasandra,1260.0,3,3,49.36
348,other,1800.0,3,3,150.0
350,Ardendale,1100.0,2,2,43.25
351,Harlur,1508.0,2,2,77.0
352,other,1592.0,3,3,75.0
353,Akshaya Nagar,1388.0,2,2,57.0
354,Electronic City Phase II,630.0,1,1,28.35
356,other,1762.0,3,3,125.0
357,other,950.0,2,2,50.0
359,Magadi Road,1116.0,2,2,50.0
360,Narayanapura,1308.0,2,2,89.04
361,other,1200.0,3,3,90.0
363,Bannerghatta Road,500.0,1,1,18.5
364,Hennur,1075.0,2,2,52.0
365,Chandapura,530.0,1,1,11.66
366,Bellandur,1205.0,2,2,66.0
367,5th Phase JP Nagar,1075.0,2,2,60.0
368,KR Puram,930.0,2,2,39.0
369,Balagere,1380.0,2,2,60.0
371,Kodigehaali,1166.0,2,2,55.0
372,Bannerghatta Road,1050.0,2,2,65.0
374,Begur Road,1200.0,2,2,46.8
375,Lakshminarayana Pura,1600.0,2,3,108.0
376,Billekahalli,1935.0,3,3,110.0
377,8th Phase JP Nagar,451.0,1,1,29.9
378,Electronic City,1800.0,3,3,95.0
379,Jalahalli,1400.0,3,3,77.0
380,Hegde Nagar,1801.0,3,3,115.0
381,Mahadevpura,1451.0,2,2,90.0
382,Anekal,1200.0,1,2,36.0
383,Begur Road,1160.0,2,2,44.0
384,Kengeri,1000.0,2,2,25.0
385,Kanakpura Road,950.0,2,2,40.0
386,other,1629.0,3,3,79.0
387,Vijayanagar,1580.0,2,3,134.0
388,Vijayanagar,1826.0,3,3,121.0
389,7th Phase JP Nagar,1245.0,2,2,94.0
390,Raja Rajeshwari Nagar,1145.0,2,2,45.79
391,Sompura,825.0,2,2,33.0
392,Yeshwanthpur,1693.0,3,3,108.0
393,Electronics City Phase 1,1113.27,2,2,53.0
394,other,1460.0,2,2,58.0
395,Doddathoguru,1050.0,2,2,32.0
396,Dodda Nekkundi,1260.0,2,2,55.0
398,Hosur Road,1656.0,2,2,120.0
399,Chandapura,1208.0,3,3,45.0
400,Whitefield,1910.0,3,3,161.0
402,Battarahalli,1200.0,2,2,65.0
404,7th Phase JP Nagar,1175.0,2,2,82.0
411,other,1185.0,2,2,38.0
412,Kengeri,750.0,2,2,38.0
414,Kanakpura Road,1550.0,3,3,64.5
415,other,1760.0,3,3,88.0
416,Billekahalli,1125.0,2,2,62.0
418,Anandapura,1000.0,2,2,55.0
419,Bommasandra Industrial Area,1090.0,2,2,31.48
420,TC Palaya,1200.0,2,2,60.0
421,Budigere,1991.0,4,3,103.0
422,Bommasandra,1060.0,2,2,26.5
423,Ambalipura,1105.0,2,2,75.0
424,Hoodi,985.0,2,2,67.0
426,Balagere,1590.0,3,3,79.0
427,CV Raman Nagar,1120.0,2,2,55.0
428,other,1069.0,2,2,55.0
429,Marathahalli,1933.0,3,3,140.0
430,Hosur Road,1194.0,2,2,69.0
431,Brookefield,1150.0,2,2,69.0
